time_step,lat,lon,pdop
1,-70,150,1.12668
1,-70,160,1.08139
1,-70,170,1.08151
1,-70,180,1.14035
1,-60,-180,1.20129
1,-60,-170,1.30681
1,-60,-160,1.52706
1,-60,-150,1.52663
1,-60,-140,1.52881
1,-60,-130,1.53356
1,-60,-120,1.54086
1,-60,-110,2.24492
1,-60,-100,1.39659
1,-60,-90,1.38912
1,-60,-80,1.38435
1,-60,-70,1.38242
1,-60,-60,1.38336
1,-60,-50,1.38713
1,-60,-40,1.20933
1,-60,-30,1.21144
1,-60,-20,1.11007
1,-60,-10,1.10963
1,-60,0,1.30232
1,-60,10,1.29924
1,-60,20,1.29868
1,-60,30,1.30071
1,-60,40,1.30531
1,-60,50,2.04956
1,-60,60,1.74282
1,-60,70,1.73603
1,-60,80,1.7326
1,-60,90,1.73241
1,-60,100,1.73529
1,-60,110,1.74112
1,-60,120,1.74978
1,-60,130,1.31064
1,-60,140,1.25323
1,-60,150,1.39742
1,-60,160,1.26896
1,-60,170,1.1989
1,-60,180,1.20129
1,-50,-180,1.20347
1,-50,-170,1.2105
1,-50,-160,1.20818
1,-50,-150,1.39258
1,-50,-140,1.38905
1,-50,-130,1.38846
1,-50,-120,1.39105
1,-50,-110,1.20496
1,-50,-100,1.27653
1,-50,-90,1.27644
1,-50,-80,1.39413
1,-50,-70,1.51858
1,-50,-60,1.94643
1,-50,-50,1.79049
1,-50,-40,1.7971
1,-50,-30,1.80899
1,-50,-20,1.44452
1,-50,-10,1.6368
1,-50,0,1.62732
1,-50,10,1.73165
1,-50,20,1.4108
1,-50,30,1.30748
1,-50,40,1.44233
1,-50,50,1.25528
1,-50,60,1.77461
1,-50,70,1.76634
1,-50,80,1.76228
1,-50,90,1.76214
1,-50,100,1.76567
1,-50,110,1.77263
1,-50,120,1.31889
1,-50,130,1.17376
1,-50,140,1.39916
1,-50,150,1.3925
1,-50,160,1.26752
1,-50,170,1.26854
1,-50,180,1.20347
1,-40,-180,1.40611
1,-40,-170,1.20985
1,-40,-160,1.35909
1,-40,-150,1.72128
1,-40,-140,1.71792
1,-40,-130,1.71949
1,-40,-120,1.2963
1,-40,-110,1.23805
1,-40,-100,1.34128
1,-40,-90,1.28068
1,-40,-80,1.45508
1,-40,-70,1.97045
1,-40,-60,1.80664
1,-40,-50,1.80882
1,-40,-40,1.81827
1,-40,-30,1.83361
1,-40,-20,1.45662
1,-40,-10,1.64892
1,-40,0,1.63604
1,-40,10,1.6298
1,-40,20,1.73993
1,-40,30,1.85677
1,-40,40,1.64718
1,-40,50,1.2645
1,-40,60,1.27142
1,-40,70,1.58367
1,-40,80,1.43995
1,-40,90,1.63944
1,-40,100,1.64251
1,-40,110,1.65038
1,-40,120,1.24623
1,-40,130,1.31212
1,-40,140,1.50574
1,-40,150,1.88711
1,-40,160,1.54042
1,-40,170,1.39844
1,-40,180,1.40611
1,-30,-180,1.26361
1,-30,-170,1.18984
1,-30,-160,1.38272
1,-30,-150,1.96076
1,-30,-140,1.93966
1,-30,-130,1.92929
1,-30,-120,1.41896
1,-30,-110,1.50065
1,-30,-100,2.32828
1,-30,-90,1.64562
1,-30,-80,1.64263
1,-30,-70,1.65049
1,-30,-60,2.06176
1,-30,-50,1.69681
1,-30,-40,1.50597
1,-30,-30,1.40164
1,-30,-20,1.35413
1,-30,-10,1.67443
1,-30,0,1.86912
1,-30,10,1.8518
1,-30,20,2.36033
1,-30,30,1.64233
1,-30,40,1.64858
1,-30,50,1.36521
1,-30,60,1.4595
1,-30,70,1.4085
1,-30,80,1.99116
1,-30,90,1.98721
1,-30,100,1.99352
1,-30,110,1.32306
1,-30,120,1.12802
1,-30,130,1.25942
1,-30,140,1.41251
1,-30,150,1.91722
1,-30,160,1.91589
1,-30,170,1.32248
1,-30,180,1.26361
1,-20,-180,1.44183
1,-20,-170,1.32508
1,-20,-160,1.29926
1,-20,-150,1.48373
1,-20,-140,1.93982
1,-20,-130,1.93097
1,-20,-120,1.41585
1,-20,-110,1.60233
1,-20,-100,2.32742
1,-20,-90,2.3302
1,-20,-80,2.35987
1,-20,-70,1.3394
1,-20,-60,1.56276
1,-20,-50,1.56747
1,-20,-40,1.58314
1,-20,-30,1.6087
1,-20,-20,1.5543
1,-20,-10,1.53141
1,-20,0,1.51797
1,-20,10,1.57055
1,-20,20,1.65557
1,-20,30,1.64908
1,-20,40,2.22925
1,-20,50,1.67125
1,-20,60,1.67642
1,-20,70,1.40386
1,-20,80,1.98212
1,-20,90,1.97684
1,-20,100,1.98205
1,-20,110,1.37542
1,-20,120,1.35196
1,-20,130,1.34925
1,-20,140,1.41339
1,-20,150,1.24632
1,-20,160,1.46471
1,-20,170,1.32752
1,-20,180,1.44183
1,-10,-180,1.30786
1,-10,-170,1.31088
1,-10,-160,1.44321
1,-10,-150,1.60335
1,-10,-140,1.6081
1,-10,-130,1.26726
1,-10,-120,1.36428
1,-10,-110,1.41906
1,-10,-100,1.47793
1,-10,-90,1.57448
1,-10,-80,1.58601
1,-10,-70,1.43737
1,-10,-60,1.30393
1,-10,-50,1.57278
1,-10,-40,1.82735
1,-10,-30,1.85928
1,-10,-20,1.7851
1,-10,-10,1.75576
1,-10,0,1.52255
1,-10,10,1.28472
1,-10,20,1.54668
1,-10,30,1.53636
1,-10,40,1.62092
1,-10,50,1.41819
1,-10,60,1.41184
1,-10,70,1.36875
1,-10,80,1.2863
